,index,Wine Type,Country,Final Price,Grape Variety,Rating Score,Wine Name,alcohol_percent,food_pairing
0,32,Dessert,Australia,19.99,Port,92.0,Yalumba Antique Reserve Tawny Port (375ML half-bottle),0,
1,39,Dessert,Portugal,29.99,Port,93.0,Taylor Fladgate 10 Year Old Tawny,0,
2,42,Dessert,Australia,18.99,Other Dessert,94.0,Yalumba Museum Reserve Muscat (375ML half-bottle),0,
3,45,Dessert,Portugal,51.99,Port,95.0,Taylor Fladgate 20 Year Old Tawny,0,
4,49,Dessert,Portugal,17.99,Port,91.0,Quinta do Noval Noval Black,0,
5,55,Dessert,Portugal,16.99,Port,90.0,Warre's Warrior Port,0,
6,59,Dessert,France,24.99,Other Dessert,97.0,Chateau Doisy Vedrines Sauternes (375ML half-bottle),0,
7,65,Dessert,USA,12.99,Port,93.0,Terra d'Oro Zinfandel Port (375ML half-bottle),0,
8,68,Dessert,France,59.99,Other Dessert,96.0,Chateau Rieussec Sauternes,0,
9,71,Dessert,Portugal,12.99,Port,90.0,Croft Fine Ruby,0,
10,78,Dessert,Portugal,19.99,Port,90.0,Fonseca Bin No. 27 Port,0,
11,84,Dessert,Portugal,18.99,Port,90.0,Fonseca Bin No. 27 Port Limited Edition Artist Series,0,
12,87,Dessert,Portugal,22.99,Port,93.0,Fonseca Late Bottled Vintage,0,
13,2355,Red,France,39.99,Pinot Noir,91.0,Bouchard Pere & Fils Beaune de Chateau Premier Cru Rouge,0,
14,2364,Red,Argentina,14.99,Cabernet Sauvignon,95.0,Antucura Cabernet Sauvignon,0,
15,2365,Red,Australia,32.99,Syrah/Shiraz,96.0,John Duval Entity Shiraz,0,
16,2366,Red,Chile,13.99,Syrah/Shiraz,93.0,Falernia Syrah Reserva,0,
17,2367,Red,Italy,17.99,Other Red Blends,95.0,Brancaia Tre,0,
18,2368,Red,Italy,28.99,Sangiovese,95.0,Fattorie Melini Chianti Classico Riserva La Selvanella,0,
19,2369,Red,Italy,28.99,Sangiovese,93.0,Querciabella Chianti Classico,0,
20,2376,Red,New Zealand,38.99,Pinot Noir,96.0,Greywacke Pinot Noir Marlborough,0,
21,2382,Red,Spain,25.99,Tempranillo,93.0,Bodegas Muga Reserva,0,
22,2383,Red,Spain,16.99,Tempranillo,93.0,Bodegas Muga Reserva (375ML half-bottle),0,
23,2385,Red,Spain,16.99,Tempranillo,95.0,Bodegas Muriel Reserva,0,
24,2386,Red,Spain,14.99,Tempranillo,90.0,Cune Crianza,0,
25,2387,Red,Spain,27.99,Tempranillo,93.0,Finca Allende,0,
26,2396,Red,USA,59.99,Cabernet Sauvignon,95.0,Trinchero Cloud's Nest Vineyard Cabernet Sauvignon,0,
27,2397,Red,USA,23.99,Other Red Blends,93.0,Sean Thackrey Pleiades XXIII Old Vines Red Blend,0,
28,2404,Red,USA,9.99,Other Red Wine,90.0,J. Lohr Wildflower Valdiguie,0,
29,2411,Red,USA,24.99,Pinot Noir,92.0,Hahn Estates Santa Lucia Highlands Pinot Noir,0,
30,2412,Red,Australia,33.99,Cabernet Sauvignon,95.0,Heartland Director's Cut Cabernet Sauvignon,0,
31,2418,Red,Australia,21.99,Other Red Blends,93.0,Pepperjack Barossa Red Blend,0,
32,2425,Red,Australia,39.99,Rhone Red Blends,94.0,Torbreck The Steading,0,
33,2434,Red,Australia,25.99,Syrah/Shiraz,93.0,Elderton Shiraz,0,
34,2440,Red,Australia,29.99,Syrah/Shiraz,93.0,Two Hands Gnarly Dudes Shiraz,0,
35,2447,Red,Australia,19.99,Syrah/Shiraz,94.0,Yalumba Barossa Patchwork Shiraz,0,
36,2454,Red,Australia,15.99,Syrah/Shiraz,92.0,Yalumba The Guardian Shiraz Viognier,0,
37,2457,Red,Australia,12.99,Cabernet Sauvignon,91.0,Jacob's Creek Reserve Cabernet Sauvignon,0,
38,2458,Red,Australia,19.99,Cabernet Sauvignon,92.0,Penley Estate Phoenix Cabernet Sauvignon,0,
39,2459,Red,Australia,34.99,Cabernet Sauvignon,96.0,Wynns Coonawarra Estate Black Label Cabernet Sauvignon,0,
