# Reviews,Wine Type,Country,Discounted Price,Final Price,Grape Variety,Number of Records,Original Price,Rating Name,Rating Score,Region,Regular Price,Wine Name,Year
,Dessert,Hungary,22.99,22.99,Other Dessert,1,22.99,,,,,Royal Tokaji Mad Cuvee (375ML half-bottle),2012
,Dessert,Hungary,22.99,22.99,Other Dessert,1,22.99,,,,,Royal Tokaji Mad Cuvee (375ML half-bottle),2012
,Dessert,Hungary,22.99,22.99,Other Dessert,1,22.99,,,,,Royal Tokaji Mad Cuvee (375ML half-bottle),2012
13,Dessert,Italy,,18.99,Other Dessert,1,,,,Piedmont,18.99,Fizz 56 Sparkling Red Brachetto,
13,Dessert,Italy,,18.99,Other Dessert,1,,,,Piedmont,18.99,Fizz 56 Sparkling Red Brachetto,
13,Dessert,Italy,,18.99,Other Dessert,1,,,,Piedmont,18.99,Fizz 56 Sparkling Red Brachetto,
13,Dessert,Italy,,18.99,Other Dessert,1,,,,Piedmont,18.99,Fizz 56 Sparkling Red Brachetto,
13,Dessert,Italy,,18.99,Other Dessert,1,,,,Piedmont,18.99,Fizz 56 Sparkling Red Brachetto,
13,Dessert,Italy,,18.99,Other Dessert,1,,,,Piedmont,18.99,Fizz 56 Sparkling Red Brachetto,
13,Dessert,Italy,,18.99,Other Dessert,1,,,,Piedmont,18.99,Fizz 56 Sparkling Red Brachetto,
13,Dessert,Italy,18.99,18.99,Other Dessert,1,18.99,,,Piedmont,,Fizz 56 Sparkling Red Brachetto,
13,Dessert,Italy,18.99,18.99,Other Dessert,1,18.99,,,Piedmont,,Fizz 56 Sparkling Red Brachetto,
10,Dessert,Portugal,13.99,13.99,Madeira,1,13.99,,,,,Leacock's Rainwater Madeira,
10,Dessert,Portugal,13.99,13.99,Madeira,1,13.99,,,,,Leacock's Rainwater Madeira,
10,Dessert,Portugal,13.99,13.99,Madeira,1,13.99,,,,,Leacock's Rainwater Madeira,
10,Dessert,Portugal,13.99,13.99,Madeira,1,13.99,,,,,Leacock's Rainwater Madeira,
10,Dessert,Portugal,13.99,13.99,Madeira,1,13.99,,,,,Leacock's Rainwater Madeira,
10,Dessert,Portugal,13.99,13.99,Madeira,1,13.99,,,,,Leacock's Rainwater Madeira,
10,Dessert,Portugal,13.99,13.99,Madeira,1,13.99,,,,,Leacock's Rainwater Madeira,
10,Dessert,Portugal,13.99,13.99,Madeira,1,13.99,,,,,Leacock's Rainwater Madeira,
5,Dessert,Portugal,19.99,19.99,Port,1,19.99,,,,,Fonseca Bin No. 27 Port,
