Wine Type,Final Price,Grape Variety,Rating Score,Wine Name,Alcohol_Percent
Dessert,19.99,Port,92,Yalumba Antique Reserve Tawny Port (375ML half-bottle),0
Dessert,29.99,Port,93,Taylor Fladgate 10 Year Old Tawny,0
Dessert,18.99,Other Dessert,94,Yalumba Museum Reserve Muscat (375ML half-bottle),0
Dessert,51.99,Port,95,Taylor Fladgate 20 Year Old Tawny,0
Dessert,34.99,Fruit Wine,92,Neige Apple Ice Wine (375ML half-bottle),0
Dessert,17.99,Port,91,Quinta do Noval Noval Black,0
Dessert,16.99,Port,90,Warre's Warrior Port,0
Dessert,24.99,Other Dessert,97,Chateau Doisy Vedrines Sauternes (375ML half-bottle),0
Dessert,12.99,Port,93,Terra d'Oro Zinfandel Port (375ML half-bottle),0
Dessert,59.99,Other Dessert,96,Chateau Rieussec Sauternes,0
Dessert,12.99,Port,90,Croft Fine Ruby,0
Dessert,19.99,Port,90,Fonseca Bin No. 27 Port,0
Dessert,18.99,Port,90,Fonseca Bin No. 27 Port Limited Edition Artist Series,0
Dessert,22.99,Port,93,Fonseca Late Bottled Vintage,0
Red,39.99,Pinot Noir,91,Bouchard Pere & Fils Beaune de Chateau Premier Cru Rouge,0
Red,14.99,Cabernet Sauvignon,95,Antucura Cabernet Sauvignon,0
Red,32.99,Syrah/Shiraz,96,John Duval Entity Shiraz,0
Red,13.99,Syrah/Shiraz,93,Falernia Syrah Reserva,0
Red,17.99,Other Red Blends,95,Brancaia Tre,0
Red,28.99,Sangiovese,95,Fattorie Melini Chianti Classico Riserva La Selvanella,0
Red,28.99,Sangiovese,93,Querciabella Chianti Classico,0
Red,38.99,Pinot Noir,96,Greywacke Pinot Noir Marlborough,0
Red,25.99,Tempranillo,93,Bodegas Muga Reserva,0
Red,16.99,Tempranillo,93,Bodegas Muga Reserva (375ML half-bottle),0
Red,16.99,Tempranillo,95,Bodegas Muriel Reserva,0
Red,14.99,Tempranillo,90,Cune Crianza,0
Red,27.99,Tempranillo,93,Finca Allende,0
Red,59.99,Cabernet Sauvignon,95,Trinchero Cloud's Nest Vineyard Cabernet Sauvignon,0
Red,23.99,Other Red Blends,93,Sean Thackrey Pleiades XXIII Old Vines Red Blend,0
Red,9.99,Other Red Wine,90,J. Lohr Wildflower Valdiguie,0
Red,24.99,Pinot Noir,92,Hahn Estates Santa Lucia Highlands Pinot Noir,0
